ProbeID	GSM1843834_BCR_T100_Probe40.CEL	GSM1843835_BCR_T101_Probe44.CEL	GSM1843836_BCR_T102_Probe49.CEL	GSM1843837_BCR_T103_Probe2.CEL	GSM1843838_BCR_T104_Probe8.CEL	GSM1843839_BCR_T105_Probe14.CEL	GSM1843840_BCR_T96_Probe20.CEL	GSM1843841_BCR_T97_Probe25.CEL	GSM1843842_BCR_T98_Probe30.CEL	GSM1843843_BCR_T99_Probe35.CEL	GSM1843844_ctrl_T100_Probe39.CEL	GSM1843845_ctrl_T101_Probe43.CEL	GSM1843846_ctrl_T102_Probe48.CEL	GSM1843847_ctrl_T103_Probe1.CEL	GSM1843848_ctrl_T104_Probe7.CEL	GSM1843849_ctrl_T105_Probe13.CEL	GSM1843850_ctrl_T96_Probe19.CEL	GSM1843851_ctrl_T97_Probe24.CEL	GSM1843852_ctrl_T98_Probe29.CEL	GSM1843853_ctrl_T99_Probe34.CEL
1555419_a_at	10.33572657	9.079728019	9.067504187	9.966852145	9.902444362	9.731306756	10.53447552	10.57687055	10.58990229	9.864586711	7.546122187	6.81110611	7.113260332	7.770205307	7.652271534	7.474141385	7.855333239	7.943313822	7.789359217	6.809848643
1555626_a_at	8.377232955	7.566143836	7.151486583	7.322471061	7.415645344	7.382204297	9.236338813	9.278285988	9.278098356	7.234772276	7.032422507	5.873078279	7.593720368	5.986711743	5.822820541	5.835131332	7.12574718	7.204612449	7.153636777	5.659131612
1555790_a_at	9.707270185	10.42535129	10.28643824	8.819888519	9.026205743	9.020688897	9.874285291	9.781497063	9.843472917	9.629697787	8.324996659	8.664453628	9.105200579	8.180479227	8.267185477	8.265052357	9.070505362	8.857899339	8.988798898	8.121022734
1555815_a_at	7.949433176	6.867792333	6.741814968	8.126665695	8.007650738	7.957235351	7.327077773	7.518040622	7.354441897	7.249305653	6.910858852	5.791743908	6.095663146	6.935132897	6.706111271	6.74879603	5.879143029	6.167634796	5.809352144	6.41017244
1555829_at	7.873016013	6.855804551	5.974946939	7.641570347	7.669378774	7.902373881	8.805935899	8.483921685	8.712885928	6.961580974	4.630070235	4.684184918	5.208125352	5.385607213	5.767579309	5.436025237	5.035178043	5.307077168	4.983609705	4.551090072
1555830_s_at	7.833351116	6.592544374	6.182392318	8.22486267	7.818165172	7.954517149	8.705408353	8.802092785	8.787276586	6.479760842	5.220731672	5.21052781	5.117290336	5.65842189	5.687144142	5.709494506	5.274386741	5.407191406	5.317650399	3.816011308
1555888_at	6.599286569	6.339059389	6.296571968	7.674251679	7.392223418	7.506430489	6.776395313	6.743856791	6.755228957	6.002832182	8.393187629	8.47692802	7.692113879	8.398790271	8.229072578	8.283089307	8.155001897	8.243888549	8.202685374	7.634714062
1555962_at	8.376183943	9.035881998	8.994694853	8.366500902	8.050444568	8.107094264	8.586530949	8.655192411	8.640004395	8.309797182	6.739223454	6.985695929	7.471237581	6.913436273	6.766030884	6.934530465	7.499453431	7.667013329	7.490862346	6.606229359
1555963_x_at	8.344583872	9.287524372	9.278363626	8.394184731	8.085070678	8.150379403	8.732801439	8.824133859	8.705620326	8.226652673	6.368794283	6.921458351	7.311417921	6.854348553	6.73206843	6.752013085	7.417145167	7.592802641	7.481976893	6.317913401
1556066_at	8.011158315	10.24825023	10.03661181	8.468905804	8.271940491	8.199845029	8.242952326	8.275759507	8.297291631	8.387586571	7.061126245	7.89562013	8.111860323	7.623404385	7.560624878	7.397587215	7.253075676	7.551418054	7.223321967	7.549563925
1556067_a_at	7.875799707	9.897364159	9.736207707	8.751214738	8.35662933	8.370196313	8.302477193	8.272443999	8.332486366	7.74260935	6.943935194	7.758233894	7.956960902	7.723896763	7.393180661	7.492589814	7.157169459	7.399776867	7.260586083	7.231175713
1556116_s_at	7.246507079	7.904073372	7.497579479	7.752740813	7.780619314	7.629440441	7.50897722	7.485948608	7.439809785	7.22255201	6.561249551	6.337349739	5.537579607	6.739423128	6.550570753	6.569365836	6.414978462	6.490971018	6.414285741	6.321335249
